timestamp,can_id,dlc,Raw_Data_Bytes,label
1479121435,350,8,05 28 84 66 6d 00 00 a2,R
1479121435,02c0,8,14 00 00 00 00 00 00 00,R
1479121435,430,8,00 00 00 00 00 00 00 00,R
1479121435,04b1,8,00 00 00 00 00 00 00 00,R
1479121435,01f1,8,00 00 00 00 00 00 00 00,R
1479121435,153,8,00 00 00 ff 00 ff 00 00,R
1479121435,2,8,00 00 00 00 00 00 00 0a,R
1479121435,018f,8,fe 36 00 00 00 3c 00 00,R
1479121435,130,8,03 80 00 ff 21 80 00 9d,R
1479121435,131,8,00 80 00 00 2d 7f 00 97,R
1479121435,140,8,00 00 00 00 14 20 20 e6,R
1479121435,260,8,1b 24 24 30 ff 90 6e 39,R
1479121435,02a0,8,60 00 6b 1d 01 04 dd 00,R
1479121435,316,8,05 24 84 09 24 23 00 7d,R
1479121435,329,8,87 b9 7e 14 12 20 00 14,R
1479121435,545,8,d8 00 00 8a 00 00 00 00,R
1479121435,02b0,5,8d ff 00 07 02,R
1479121435,043f,8,00 40 60 ff 5a 6c 08 00,R
1479121435,370,8,00 20 00 00 00 00 00 00,R
1479121435,440,8,ff 00 00 00 ff 6c 08 00,R
1479121435,02c0,8,14 00 00 00 00 00 00 00,R
1479121435,350,8,05 28 94 66 6d 00 00 b2,R
1479121435,04f0,8,00 00 00 80 00 4f 03 14,R
1479121435,2,8,00 00 00 00 00 00 01 17,R
1479121435,153,8,00 00 00 ff 00 ff 00 00,R
1479121435,316,8,05 24 84 09 24 23 00 7d,R
1479121435,018f,8,fe 36 00 00 00 3c 00 00,R
1479121435,260,8,1b 24 24 30 ff 90 6e 06,R
1479121435,130,8,06 80 00 ff 13 80 01 9f,R
1479121435,131,8,09 80 00 00 1d 7f 01 2d,R
1479121435,140,8,00 00 00 00 16 20 21 f8,R
1479121435,02a0,8,00 00 6b 1d 01 04 dd 00,R
1479121435,329,8,87 b9 7e 14 12 20 00 14,R
1479121435,545,8,d8 00 00 89 00 00 00 00,R
1479121435,02b0,5,8d ff 00 07 13,R
1479121435,043f,8,00 40 60 ff 5a 6a 08 00,R
1479121435,370,8,00 20 00 00 00 00 00 00,R
1479121435,440,8,ff 00 00 00 ff 6a 08 00,R
1479121435,05f0,2,f4 00,R
1479121435,02c0,8,14 00 00 00 00 00 00 00,R
1479121435,350,8,05 28 a4 66 6d 00 00 82,R
1479121435,430,8,00 00 00 00 00 00 00 00,R
1479121435,04b1,8,00 00 00 00 00 00 00 00,R
1479121435,01f1,8,00 00 00 00 00 00 00 00,R
1479121435,153,8,00 00 00 ff 00 ff 00 00,R
1479121435,2,8,00 00 00 00 00 00 02 30,R
1479121435,018f,8,fe 36 00 00 00 3c 00 00,R
1479121435,260,8,1b 24 24 30 ff 90 6e 17,R
1479121435,02a0,8,20 00 6b 1d 01 04 dd 00,R
1479121435,316,8,05 24 78 09 24 23 00 7d,R
1479121435,329,8,87 b9 7e 14 12 20 00 14,R
1479121435,130,8,05 80 00 ff 00 80 02 cb,R
